device: cuda
tokenizer: tiktoken
vocab_size: 50257
dataset_tokens: 338025
model_parameters: 52.93M
tokens_per_step: 16384
step 0: train loss 10.8549, val loss 10.8521
step 114: loss 5.1716, step_time 113.60 ms, throughput 144219.51 tokens/s
step 115: loss 5.1838, step_time 114.80 ms, throughput 142723.46 tokens/s
step 116: loss 5.1984, step_time 114.57 ms, throughput 143008.17 tokens/s
step 117: loss 5.2518, step_time 114.77 ms, throughput 142754.59 tokens/s
step 118: loss 5.1488, step_time 114.93 ms, throughput 142553.45 tokens/s
step 119: loss 5.1901, step_time 114.65 ms, throughput 142907.73 tokens/s
step 120: loss 5.1003, step_time 114.53 ms, throughput 143059.95 tokens/s
step 121: loss 5.0463, step_time 114.51 ms, throughput 143083.44 tokens/s
step 122: loss 4.9743, step_time 114.37 ms, throughput 143258.16 tokens/s
step 123: loss 5.0852, step_time 114.49 ms, throughput 143106.71 tokens/s
step 124: loss 5.0249, step_time 115.37 ms, throughput 142012.63 tokens/s
step 125: loss 5.0352, step_time 113.21 ms, throughput 144718.17 tokens/s
step 126: loss 4.9828, step_time 114.81 ms, throughput 142710.26 tokens/s
step 127: loss 4.9805, step_time 114.62 ms, throughput 142940.33 tokens/s
step 128: loss 5.0395, step_time 115.06 ms, throughput 142399.48 tokens/s
step 129: loss 4.8233, step_time 115.00 ms, throughput 142467.06 tokens/s
step 130: loss 5.0387, step_time 113.42 ms, throughput 144454.78 tokens/s
step 131: loss 5.0644, step_time 114.54 ms, throughput 143046.06 tokens/s
step 132: loss 4.9520, step_time 114.89 ms, throughput 142611.46 tokens/s
step 133: loss 4.9944, step_time 113.94 ms, throughput 143789.27 tokens/s
step 134: loss 4.9669, step_time 114.46 ms, throughput 143137.93 tokens/s
step 135: loss 4.9764, step_time 114.65 ms, throughput 142908.42 tokens/s
step 136: loss 4.9549, step_time 113.48 ms, throughput 144374.90 tokens/s
step 137: loss 4.8820, step_time 114.71 ms, throughput 142830.29 tokens/s
step 138: loss 5.0030, step_time 114.65 ms, throughput 142905.33 tokens/s
step 139: loss 4.9335, step_time 114.82 ms, throughput 142697.13 tokens/s
step 140: loss 4.8781, step_time 115.06 ms, throughput 142389.76 tokens/s
step 141: loss 4.8453, step_time 113.58 ms, throughput 144246.31 tokens/s
step 142: loss 4.8356, step_time 114.72 ms, throughput 142819.62 tokens/s
step 143: loss 4.8209, step_time 114.85 ms, throughput 142652.45 tokens/s
step 144: loss 4.8953, step_time 114.23 ms, throughput 143424.85 tokens/s
step 145: loss 4.9259, step_time 114.55 ms, throughput 143026.93 tokens/s
step 146: loss 4.8744, step_time 114.75 ms, throughput 142774.11 tokens/s
step 147: loss 4.8959, step_time 113.51 ms, throughput 144339.30 tokens/s
step 148: loss 4.7813, step_time 114.83 ms, throughput 142686.33 tokens/s
step 149: loss 4.8661, step_time 114.81 ms, throughput 142699.43 tokens/s
step 150: loss 4.8042, step_time 115.00 ms, throughput 142473.43 tokens/s
step 151: loss 4.8258, step_time 114.99 ms, throughput 142477.73 tokens/s
step 152: loss 4.7776, step_time 113.57 ms, throughput 144267.81 tokens/s
step 153: loss 4.8360, step_time 114.66 ms, throughput 142894.02 tokens/s
step 154: loss 4.8627, step_time 114.84 ms, throughput 142674.05 tokens/s
step 155: loss 4.8511, step_time 114.09 ms, throughput 143611.67 tokens/s
step 156: loss 4.7781, step_time 114.57 ms, throughput 143007.61 tokens/s
step 157: loss 4.7193, step_time 114.75 ms, throughput 142774.89 tokens/s
step 158: loss 4.7708, step_time 114.41 ms, throughput 143200.49 tokens/s
step 159: loss 4.6687, step_time 114.85 ms, throughput 142653.52 tokens/s
step 160: loss 4.7745, step_time 114.73 ms, throughput 142801.92 tokens/s
step 161: loss 4.7568, step_time 114.92 ms, throughput 142569.42 tokens/s
step 162: loss 4.6761, step_time 115.13 ms, throughput 142306.01 tokens/s
step 163: loss 4.7904, step_time 113.83 ms, throughput 143938.49 tokens/s
step 164: loss 4.7916, step_time 114.61 ms, throughput 142957.98 tokens/s
step 165: loss 4.6060, step_time 115.02 ms, throughput 142443.91 tokens/s
step 166: loss 4.6701, step_time 113.77 ms, throughput 144004.08 tokens/s
step 167: loss 4.7475, step_time 114.52 ms, throughput 143068.99 tokens/s
step 168: loss 4.6195, step_time 114.64 ms, throughput 142915.46 tokens/s
step 169: loss 4.6865, step_time 113.82 ms, throughput 143945.73 tokens/s
step 170: loss 4.6764, step_time 115.19 ms, throughput 142237.44 tokens/s
step 171: loss 4.7307, step_time 114.81 ms, throughput 142707.25 tokens/s
step 172: loss 4.6804, step_time 114.84 ms, throughput 142669.82 tokens/s
step 173: loss 4.6468, step_time 115.09 ms, throughput 142358.23 tokens/s
step 174: loss 4.6845, step_time 113.82 ms, throughput 143943.24 tokens/s
step 175: loss 4.5569, step_time 114.81 ms, throughput 142707.98 tokens/s
step 176: loss 4.5819, step_time 114.95 ms, throughput 142531.15 tokens/s
step 177: loss 4.4123, step_time 113.63 ms, throughput 144181.91 tokens/s
step 178: loss 4.6806, step_time 114.54 ms, throughput 143047.93 tokens/s
step 179: loss 4.5465, step_time 114.71 ms, throughput 142826.12 tokens/s
step 180: loss 4.6255, step_time 113.92 ms, throughput 143818.40 tokens/s
step 181: loss 4.5785, step_time 115.38 ms, throughput 142004.80 tokens/s
step 182: loss 4.6742, step_time 114.84 ms, throughput 142672.84 tokens/s
step 183: loss 4.4914, step_time 114.72 ms, throughput 142820.98 tokens/s
step 184: loss 4.6540, step_time 114.94 ms, throughput 142541.82 tokens/s
step 185: loss 4.4989, step_time 115.08 ms, throughput 142372.65 tokens/s
step 186: loss 4.5561, step_time 114.81 ms, throughput 142700.30 tokens/s
step 187: loss 4.5621, step_time 114.78 ms, throughput 142744.52 tokens/s
step 188: loss 4.4809, step_time 114.89 ms, throughput 142609.32 tokens/s
step 189: loss 4.6360, step_time 115.09 ms, throughput 142352.88 tokens/s
step 190: loss 4.5920, step_time 114.82 ms, throughput 142687.65 tokens/s
step 191: loss 4.3922, step_time 114.72 ms, throughput 142814.84 tokens/s
step 192: loss 4.6105, step_time 114.44 ms, throughput 143169.30 tokens/s
step 193: loss 4.4857, step_time 115.49 ms, throughput 141859.92 tokens/s
step 194: loss 4.5542, step_time 115.37 ms, throughput 142017.65 tokens/s
step 195: loss 4.5351, step_time 114.72 ms, throughput 142821.46 tokens/s
step 196: loss 4.4258, step_time 115.39 ms, throughput 141990.71 tokens/s
step 197: loss 4.5099, step_time 115.16 ms, throughput 142275.04 tokens/s
step 198: loss 4.5848, step_time 114.85 ms, throughput 142657.68 tokens/s
step 199: loss 4.4798, step_time 114.68 ms, throughput 142862.81 tokens/s
step 200: loss 4.5228, step_time 114.88 ms, throughput 142622.59 tokens/s
step 201: loss 4.4502, step_time 114.80 ms, throughput 142717.84 tokens/s
step 202: loss 4.4537, step_time 113.96 ms, throughput 143767.38 tokens/s
step 203: loss 4.5161, step_time 114.70 ms, throughput 142838.86 tokens/s
step 204: loss 4.4043, step_time 115.57 ms, throughput 141762.24 tokens/s
step 205: loss 4.4514, step_time 115.08 ms, throughput 142370.44 tokens/s
step 206: loss 4.4745, step_time 114.75 ms, throughput 142774.54 tokens/s
step 207: loss 4.3130, step_time 115.48 ms, throughput 141880.37 tokens/s
step 208: loss 4.4471, step_time 114.75 ms, throughput 142784.01 tokens/s
step 209: loss 4.4458, step_time 113.95 ms, throughput 143788.19 tokens/s
step 210: loss 4.5094, step_time 114.13 ms, throughput 143552.71 tokens/s
step 211: loss 4.4893, step_time 114.91 ms, throughput 142577.59 tokens/s
step 212: loss 4.4004, step_time 115.22 ms, throughput 142197.57 tokens/s
step 213: loss 4.3814, step_time 114.97 ms, throughput 142504.94 tokens/s
step 214: loss 4.3765, step_time 114.86 ms, throughput 142641.49 tokens/s
step 215: loss 4.4306, step_time 115.03 ms, throughput 142427.89 tokens/s
step 216: loss 4.4582, step_time 113.74 ms, throughput 144046.86 tokens/s
step 217: loss 4.4052, step_time 114.47 ms, throughput 143130.63 tokens/s
step 218: loss 4.3364, step_time 114.77 ms, throughput 142752.65 tokens/s
step 219: loss 4.3711, step_time 114.22 ms, throughput 143447.34 tokens/s
step 220: loss 4.4146, step_time 114.44 ms, throughput 143162.05 tokens/s
step 221: loss 4.3559, step_time 115.02 ms, throughput 142442.54 tokens/s
step 222: loss 4.4448, step_time 114.36 ms, throughput 143272.55 tokens/s
step 223: loss 4.2766, step_time 114.81 ms, throughput 142703.24 tokens/s
step 224: loss 4.3462, step_time 114.86 ms, throughput 142645.47 tokens/s
step 225: loss 4.2645, step_time 114.85 ms, throughput 142649.99 tokens/s
step 226: loss 4.4098, step_time 114.79 ms, throughput 142731.60 tokens/s
step 227: loss 4.3720, step_time 113.68 ms, throughput 144122.93 tokens/s
step 228: loss 4.3311, step_time 114.45 ms, throughput 143154.31 tokens/s
step 229: loss 4.3780, step_time 114.90 ms, throughput 142597.53 tokens/s
step 230: loss 4.3061, step_time 114.41 ms, throughput 143207.15 tokens/s
step 231: loss 4.3325, step_time 114.57 ms, throughput 143009.51 tokens/s
step 232: loss 4.3028, step_time 115.13 ms, throughput 142307.42 tokens/s
step 233: loss 4.2709, step_time 114.91 ms, throughput 142575.80 tokens/s
step 234: loss 4.2223, step_time 115.41 ms, throughput 141958.34 tokens/s
step 235: loss 4.3367, step_time 115.17 ms, throughput 142259.63 tokens/s
step 236: loss 4.3641, step_time 114.95 ms, throughput 142533.99 tokens/s
step 237: loss 4.3165, step_time 114.77 ms, throughput 142755.39 tokens/s
step 238: loss 4.1958, step_time 115.16 ms, throughput 142271.10 tokens/s
step 239: loss 4.3500, step_time 115.30 ms, throughput 142101.98 tokens/s
step 240: loss 4.3543, step_time 114.96 ms, throughput 142515.60 tokens/s
step 241: loss 4.2410, step_time 114.40 ms, throughput 143214.00 tokens/s
step 242: loss 4.3955, step_time 114.47 ms, throughput 143129.73 tokens/s
step 243: loss 4.2474, step_time 115.88 ms, throughput 141383.36 tokens/s
step 244: loss 4.2040, step_time 115.35 ms, throughput 142031.36 tokens/s
step 245: loss 4.1893, step_time 114.61 ms, throughput 142960.31 tokens/s
step 246: loss 4.3253, step_time 115.04 ms, throughput 142414.60 tokens/s
step 247: loss 4.2287, step_time 113.78 ms, throughput 143995.73 tokens/s
step 248: loss 4.3188, step_time 114.97 ms, throughput 142511.69 tokens/s
step 249: loss 4.2584, step_time 114.75 ms, throughput 142778.15 tokens/s
step 250: loss 4.3665, step_time 115.33 ms, throughput 142057.24 tokens/s
step 251: loss 4.2470, step_time 115.14 ms, throughput 142293.97 tokens/s
step 252: loss 4.1418, step_time 113.67 ms, throughput 144130.75 tokens/s
step 253: loss 4.2699, step_time 114.77 ms, throughput 142752.82 tokens/s
step 254: loss 4.1628, step_time 115.00 ms, throughput 142472.88 tokens/s
step 255: loss 4.2739, step_time 114.18 ms, throughput 143493.48 tokens/s
step 256: loss 4.2985, step_time 114.61 ms, throughput 142953.30 tokens/s
step 257: loss 4.1816, step_time 115.91 ms, throughput 141354.20 tokens/s
step 258: loss 4.2895, step_time 113.67 ms, throughput 144141.84 tokens/s
