device: cuda
tokenizer: tiktoken
vocab_size: 50257
dataset_tokens: 338025
model_parameters: 52.93M
tokens_per_step: 16384
step 0: train loss 10.8548, val loss 10.8516
step 123: loss 5.1491, step_time 119.14 ms, throughput 137516.73 tokens/s
step 124: loss 5.0900, step_time 119.15 ms, throughput 137509.60 tokens/s
step 125: loss 5.0955, step_time 119.25 ms, throughput 137395.08 tokens/s
step 126: loss 5.0484, step_time 117.89 ms, throughput 138973.76 tokens/s
step 127: loss 5.0477, step_time 119.38 ms, throughput 137238.15 tokens/s
step 128: loss 5.0997, step_time 119.26 ms, throughput 137379.22 tokens/s
step 129: loss 4.8948, step_time 118.68 ms, throughput 138046.12 tokens/s
step 130: loss 5.0992, step_time 119.41 ms, throughput 137209.24 tokens/s
step 131: loss 5.1277, step_time 119.52 ms, throughput 137083.95 tokens/s
step 132: loss 5.0181, step_time 119.46 ms, throughput 137150.56 tokens/s
step 133: loss 5.0498, step_time 118.99 ms, throughput 137691.43 tokens/s
step 134: loss 5.0309, step_time 119.01 ms, throughput 137666.70 tokens/s
step 135: loss 5.0332, step_time 119.61 ms, throughput 136975.42 tokens/s
step 136: loss 5.0172, step_time 118.45 ms, throughput 138318.97 tokens/s
step 137: loss 4.9428, step_time 119.29 ms, throughput 137346.62 tokens/s
step 138: loss 5.0598, step_time 119.58 ms, throughput 137009.03 tokens/s
step 139: loss 4.9931, step_time 119.67 ms, throughput 136912.69 tokens/s
step 140: loss 4.9376, step_time 119.49 ms, throughput 137111.42 tokens/s
step 141: loss 4.9014, step_time 118.86 ms, throughput 137844.95 tokens/s
step 142: loss 4.8970, step_time 120.46 ms, throughput 136014.58 tokens/s
step 143: loss 4.8814, step_time 119.81 ms, throughput 136747.09 tokens/s
step 144: loss 4.9565, step_time 119.27 ms, throughput 137372.90 tokens/s
step 145: loss 4.9808, step_time 120.00 ms, throughput 136531.33 tokens/s
step 146: loss 4.9300, step_time 119.67 ms, throughput 136907.42 tokens/s
step 147: loss 4.9523, step_time 119.88 ms, throughput 136666.04 tokens/s
step 148: loss 4.8430, step_time 119.20 ms, throughput 137452.86 tokens/s
step 149: loss 4.9220, step_time 120.52 ms, throughput 135943.46 tokens/s
step 150: loss 4.8580, step_time 120.47 ms, throughput 136005.82 tokens/s
step 151: loss 4.8777, step_time 119.23 ms, throughput 137409.81 tokens/s
step 152: loss 4.8369, step_time 119.91 ms, throughput 136631.70 tokens/s
step 153: loss 4.8883, step_time 119.71 ms, throughput 136867.40 tokens/s
step 154: loss 4.9176, step_time 119.87 ms, throughput 136683.08 tokens/s
step 155: loss 4.9008, step_time 119.14 ms, throughput 137522.67 tokens/s
step 156: loss 4.8296, step_time 120.19 ms, throughput 136317.11 tokens/s
step 157: loss 4.7730, step_time 119.42 ms, throughput 137199.37 tokens/s
step 158: loss 4.8224, step_time 119.03 ms, throughput 137644.03 tokens/s
step 159: loss 4.7168, step_time 119.71 ms, throughput 136859.37 tokens/s
step 160: loss 4.8270, step_time 118.47 ms, throughput 138294.46 tokens/s
step 161: loss 4.8025, step_time 119.24 ms, throughput 137407.89 tokens/s
step 162: loss 4.7289, step_time 119.40 ms, throughput 137218.80 tokens/s
step 163: loss 4.8470, step_time 119.40 ms, throughput 137221.51 tokens/s
step 164: loss 4.8368, step_time 119.29 ms, throughput 137340.43 tokens/s
step 165: loss 4.6521, step_time 119.22 ms, throughput 137425.86 tokens/s
step 166: loss 4.7145, step_time 119.44 ms, throughput 137170.26 tokens/s
step 167: loss 4.7977, step_time 118.97 ms, throughput 137711.67 tokens/s
step 168: loss 4.6695, step_time 119.12 ms, throughput 137540.88 tokens/s
step 169: loss 4.7306, step_time 119.33 ms, throughput 137301.61 tokens/s
step 170: loss 4.7264, step_time 118.87 ms, throughput 137828.60 tokens/s
step 171: loss 4.7763, step_time 119.55 ms, throughput 137044.81 tokens/s
step 172: loss 4.7293, step_time 119.52 ms, throughput 137077.51 tokens/s
step 173: loss 4.6956, step_time 119.91 ms, throughput 136635.10 tokens/s
step 174: loss 4.7313, step_time 119.24 ms, throughput 137403.57 tokens/s
step 175: loss 4.6080, step_time 119.21 ms, throughput 137434.09 tokens/s
step 176: loss 4.6272, step_time 119.68 ms, throughput 136897.70 tokens/s
step 177: loss 4.4657, step_time 118.78 ms, throughput 137940.15 tokens/s
step 178: loss 4.7267, step_time 119.60 ms, throughput 136992.60 tokens/s
step 179: loss 4.5923, step_time 119.15 ms, throughput 137507.02 tokens/s
step 180: loss 4.6705, step_time 119.53 ms, throughput 137073.15 tokens/s
step 181: loss 4.6294, step_time 119.66 ms, throughput 136916.07 tokens/s
step 182: loss 4.7280, step_time 118.51 ms, throughput 138244.37 tokens/s
step 183: loss 4.5419, step_time 120.50 ms, throughput 135966.36 tokens/s
step 184: loss 4.7015, step_time 119.62 ms, throughput 136970.69 tokens/s
step 185: loss 4.5407, step_time 119.28 ms, throughput 137359.73 tokens/s
step 186: loss 4.6043, step_time 120.10 ms, throughput 136424.45 tokens/s
step 187: loss 4.6050, step_time 120.08 ms, throughput 136445.07 tokens/s
step 188: loss 4.5220, step_time 120.02 ms, throughput 136511.17 tokens/s
step 189: loss 4.6808, step_time 120.07 ms, throughput 136452.57 tokens/s
step 190: loss 4.6381, step_time 120.07 ms, throughput 136449.76 tokens/s
step 191: loss 4.4403, step_time 119.22 ms, throughput 137426.92 tokens/s
step 192: loss 4.6486, step_time 120.14 ms, throughput 136377.92 tokens/s
step 193: loss 4.5317, step_time 119.93 ms, throughput 136616.00 tokens/s
step 194: loss 4.6032, step_time 119.69 ms, throughput 136883.24 tokens/s
step 195: loss 4.5815, step_time 119.95 ms, throughput 136588.87 tokens/s
step 196: loss 4.4785, step_time 119.87 ms, throughput 136679.40 tokens/s
step 197: loss 4.5591, step_time 120.04 ms, throughput 136482.71 tokens/s
step 198: loss 4.6391, step_time 118.54 ms, throughput 138217.79 tokens/s
step 199: loss 4.5324, step_time 119.18 ms, throughput 137473.74 tokens/s
step 200: loss 4.5668, step_time 120.08 ms, throughput 136447.81 tokens/s
step 201: loss 4.5039, step_time 119.49 ms, throughput 137114.47 tokens/s
step 202: loss 4.4954, step_time 119.96 ms, throughput 136579.79 tokens/s
step 203: loss 4.5637, step_time 118.94 ms, throughput 137755.87 tokens/s
step 204: loss 4.4511, step_time 120.18 ms, throughput 136324.06 tokens/s
step 205: loss 4.5001, step_time 119.50 ms, throughput 137100.60 tokens/s
step 206: loss 4.5218, step_time 119.14 ms, throughput 137518.66 tokens/s
step 207: loss 4.3628, step_time 119.59 ms, throughput 136995.83 tokens/s
step 208: loss 4.4884, step_time 118.36 ms, throughput 138422.09 tokens/s
step 209: loss 4.4867, step_time 119.36 ms, throughput 137262.38 tokens/s
step 210: loss 4.5572, step_time 119.49 ms, throughput 137111.40 tokens/s
step 211: loss 4.5287, step_time 119.54 ms, throughput 137053.78 tokens/s
step 212: loss 4.4386, step_time 119.47 ms, throughput 137143.01 tokens/s
step 213: loss 4.4364, step_time 119.28 ms, throughput 137362.32 tokens/s
step 214: loss 4.4074, step_time 119.45 ms, throughput 137167.20 tokens/s
step 215: loss 4.4834, step_time 119.05 ms, throughput 137618.65 tokens/s
step 216: loss 4.4968, step_time 119.33 ms, throughput 137303.96 tokens/s
step 217: loss 4.4494, step_time 119.33 ms, throughput 137298.11 tokens/s
step 218: loss 4.3754, step_time 118.93 ms, throughput 137764.40 tokens/s
step 219: loss 4.4135, step_time 119.52 ms, throughput 137086.08 tokens/s
step 220: loss 4.4554, step_time 119.60 ms, throughput 136985.21 tokens/s
step 221: loss 4.4034, step_time 119.42 ms, throughput 137198.36 tokens/s
step 222: loss 4.4921, step_time 118.32 ms, throughput 138475.64 tokens/s
step 223: loss 4.3217, step_time 119.27 ms, throughput 137366.01 tokens/s
step 224: loss 4.3861, step_time 119.95 ms, throughput 136591.44 tokens/s
step 225: loss 4.3078, step_time 118.81 ms, throughput 137899.47 tokens/s
step 226: loss 4.4532, step_time 119.35 ms, throughput 137276.27 tokens/s
step 227: loss 4.4140, step_time 119.75 ms, throughput 136816.01 tokens/s
step 228: loss 4.3770, step_time 119.96 ms, throughput 136580.48 tokens/s
step 229: loss 4.4191, step_time 119.05 ms, throughput 137617.13 tokens/s
step 230: loss 4.3523, step_time 119.36 ms, throughput 137261.24 tokens/s
step 231: loss 4.3728, step_time 120.69 ms, throughput 135751.98 tokens/s
step 232: loss 4.3456, step_time 120.23 ms, throughput 136271.30 tokens/s
step 233: loss 4.3137, step_time 119.43 ms, throughput 137182.43 tokens/s
step 234: loss 4.2641, step_time 119.90 ms, throughput 136646.52 tokens/s
step 235: loss 4.3762, step_time 119.84 ms, throughput 136715.78 tokens/s
step 236: loss 4.4062, step_time 119.76 ms, throughput 136812.51 tokens/s
step 237: loss 4.3622, step_time 119.08 ms, throughput 137591.52 tokens/s
step 238: loss 4.2341, step_time 120.62 ms, throughput 135831.17 tokens/s
step 239: loss 4.3927, step_time 119.43 ms, throughput 137186.70 tokens/s
step 240: loss 4.3968, step_time 119.44 ms, throughput 137171.85 tokens/s
step 241: loss 4.2842, step_time 120.19 ms, throughput 136319.84 tokens/s
step 242: loss 4.4398, step_time 119.63 ms, throughput 136960.70 tokens/s
step 243: loss 4.2847, step_time 120.02 ms, throughput 136516.18 tokens/s
step 244: loss 4.2485, step_time 119.17 ms, throughput 137485.76 tokens/s
step 245: loss 4.2323, step_time 120.66 ms, throughput 135782.64 tokens/s
step 246: loss 4.3674, step_time 119.81 ms, throughput 136749.32 tokens/s
step 247: loss 4.2650, step_time 119.09 ms, throughput 137580.63 tokens/s
step 248: loss 4.3629, step_time 120.14 ms, throughput 136374.18 tokens/s
step 249: loss 4.2965, step_time 119.72 ms, throughput 136848.94 tokens/s
step 250: loss 4.4088, step_time 120.17 ms, throughput 136344.25 tokens/s
step 251: loss 4.2957, step_time 119.05 ms, throughput 137628.59 tokens/s
step 252: loss 4.1851, step_time 120.68 ms, throughput 135763.68 tokens/s
step 253: loss 4.3102, step_time 119.96 ms, throughput 136580.37 tokens/s
step 254: loss 4.2075, step_time 119.21 ms, throughput 137433.90 tokens/s
step 255: loss 4.3171, step_time 120.24 ms, throughput 136258.72 tokens/s
step 256: loss 4.3379, step_time 119.62 ms, throughput 136970.40 tokens/s
step 257: loss 4.2285, step_time 120.28 ms, throughput 136220.67 tokens/s
step 258: loss 4.3332, step_time 119.07 ms, throughput 137603.18 tokens/s
step 259: loss 4.2744, step_time 120.67 ms, throughput 135770.00 tokens/s
step 260: loss 4.2740, step_time 119.93 ms, throughput 136614.80 tokens/s
step 261: loss 4.2408, step_time 119.36 ms, throughput 137266.17 tokens/s
step 262: loss 4.2208, step_time 120.12 ms, throughput 136394.94 tokens/s
step 263: loss 4.2109, step_time 119.57 ms, throughput 137021.66 tokens/s
step 264: loss 4.2084, step_time 120.04 ms, throughput 136482.63 tokens/s
step 265: loss 4.2057, step_time 119.05 ms, throughput 137620.86 tokens/s
step 266: loss 4.2088, step_time 120.02 ms, throughput 136515.14 tokens/s
step 267: loss 4.3613, step_time 119.10 ms, throughput 137562.59 tokens/s
step 268: loss 4.1569, step_time 119.20 ms, throughput 137448.98 tokens/s
step 269: loss 4.2572, step_time 119.61 ms, throughput 136975.57 tokens/s
step 270: loss 4.3539, step_time 118.55 ms, throughput 138203.41 tokens/s
step 271: loss 4.2135, step_time 119.25 ms, throughput 137396.29 tokens/s
step 272: loss 4.1445, step_time 119.67 ms, throughput 136915.44 tokens/s
step 273: loss 4.1468, step_time 119.54 ms, throughput 137064.28 tokens/s
step 274: loss 4.1883, step_time 119.50 ms, throughput 137110.30 tokens/s
step 275: loss 4.2459, step_time 119.41 ms, throughput 137211.08 tokens/s
step 276: loss 4.1516, step_time 119.53 ms, throughput 137071.38 tokens/s
step 277: loss 4.1738, step_time 118.25 ms, throughput 138549.22 tokens/s
step 278: loss 4.1345, step_time 119.28 ms, throughput 137361.92 tokens/s
step 279: loss 4.1450, step_time 119.42 ms, throughput 137194.03 tokens/s
step 280: loss 4.1538, step_time 119.42 ms, throughput 137193.35 tokens/s
step 281: loss 4.0804, step_time 119.60 ms, throughput 136992.53 tokens/s
step 282: loss 4.1604, step_time 119.63 ms, throughput 136951.00 tokens/s
step 283: loss 4.1983, step_time 120.12 ms, throughput 136399.42 tokens/s
step 284: loss 4.2932, step_time 119.41 ms, throughput 137206.74 tokens/s
step 285: loss 4.0989, step_time 119.40 ms, throughput 137221.35 tokens/s
step 286: loss 4.0915, step_time 119.80 ms, throughput 136762.68 tokens/s
step 287: loss 4.2305, step_time 118.51 ms, throughput 138248.14 tokens/s
step 288: loss 4.1762, step_time 119.77 ms, throughput 136796.39 tokens/s
step 289: loss 4.1283, step_time 119.97 ms, throughput 136562.39 tokens/s
step 290: loss 4.1738, step_time 120.16 ms, throughput 136351.62 tokens/s
step 291: loss 4.1858, step_time 119.80 ms, throughput 136755.73 tokens/s
step 292: loss 4.0573, step_time 119.29 ms, throughput 137343.19 tokens/s
step 293: loss 4.1221, step_time 120.05 ms, throughput 136479.62 tokens/s
step 294: loss 4.0645, step_time 118.80 ms, throughput 137908.62 tokens/s
step 295: loss 4.0397, step_time 119.92 ms, throughput 136628.29 tokens/s
step 296: loss 4.0746, step_time 119.71 ms, throughput 136865.96 tokens/s
step 297: loss 4.1068, step_time 119.91 ms, throughput 136640.48 tokens/s
step 298: loss 4.1007, step_time 119.80 ms, throughput 136756.15 tokens/s
step 299: loss 4.0965, step_time 119.19 ms, throughput 137456.55 tokens/s
